time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-29 09:30:00-04:00,MLTrader,0f092d22c9a74163910f06acb3d0bfbf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,0f092d22c9a74163910f06acb3d0bfbf,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,115.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,7d218e8e666e4420b64a3e90a57937a6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,913653f8c3bb43fbb62aca7a7d0fcc7a,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,115.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,a4daad05d23e421395d4f3f77a71839a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,a4daad05d23e421395d4f3f77a71839a,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,107.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,735b1f712df54213a6bdfd205ae1dfc7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,735b1f712df54213a6bdfd205ae1dfc7,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,165.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,517c14794e6e4895bbed3b3500ef7028,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,517c14794e6e4895bbed3b3500ef7028,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,251.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,2c2f3adf31854401a1dd94a5127d13a4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,2c2f3adf31854401a1dd94a5127d13a4,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,370.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,e3322882166a4417a2939a5af3d73a20,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,e3322882166a4417a2939a5af3d73a20,SPY,sell,market,fill,1,gtc,0.0,1,stock,426.5799865722656,577.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,27e2a66ba49344e4bbb84a9dc84282d9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,27e2a66ba49344e4bbb84a9dc84282d9,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,841.0,0.0
2023-11-14 09:30:00-05:00,MLTrader,945e633afb2146f2bf19f6267a0928ed,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,c8315e7ffa7842dd8251eff89953e06c,SPY,buy,stop,fill,1,day,0.0,1,stock,447.9089859008789,577.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,e7fadeccf1bb41339fd7b79cb9b9effe,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,34df9f83f1ea406abfc3806b58cf4c29,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,2a33b418ce2d447ca18c2753f6a16f87,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,d2545bf4a5e84a09a57e3f6ab559ed18,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,cd1e161235ac4b90b7bebd3be803cda5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,a20f53a7ca9d4a76bdfcca167920e917,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,d5cf37ee2c264752a00a8b3fd0545eb4,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f9569d7bca9a4b4996d6d115b9ca5466,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9bbec69a721f4aa4ae2e7ea55fd803af,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,48f3ac02fedc4314a45a39297afb952c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,64a3637baa204a33a7cfdf855811dbf2,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,ae3cceb5819346b190ef7e670829fc24,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,64a3637baa204a33a7cfdf855811dbf2,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,1734.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,ae3cceb5819346b190ef7e670829fc24,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,946.0,0.0
